Module No,Lesson No,Lesson Title,Category,Item,Length,Limit,Suggested Length,Reduce By (chars)
1,1,My Phone for More Than Calls and WhatsApp Gist,body,English lesson message (book-emoji + title + body + quiz prompt),1033,1024,1000,33
1,1,My Phone for More Than Calls and WhatsApp Gist,quiz,"Q1 option 2: ""I tried but got stuck""",21,20,20,1
1,1,My Phone for More Than Calls and WhatsApp Gist,quiz,"Q2 option 2: ""Shared her product, price and number""",36,20,20,16
1,1,My Phone for More Than Calls and WhatsApp Gist,quiz,"Q3 option 1: ""Charging your battery""",21,20,20,1
1,1,My Phone for More Than Calls and WhatsApp Gist,quiz,"Q3 option 2: ""Raising ringtone volume""",23,20,20,3
1,1,My Phone for More Than Calls and WhatsApp Gist,quiz,"Q3 option 3: ""Sending product photos""",22,20,20,2
1,2,"My Phone Got Missing, What Now?",body,English lesson message (book-emoji + title + body + quiz prompt),1156,1024,1000,156
1,2,"My Phone Got Missing, What Now?",quiz,"Q1 option 2: ""I tried but need help""",21,20,20,1
1,2,"My Phone Got Missing, What Now?",quiz,"Q2 option 3: ""Her contacts were deleted""",25,20,20,5
1,2,"My Phone Got Missing, What Now?",quiz,"Q3 option 1: ""Wait and hope it returns""",24,20,20,4
1,2,"My Phone Got Missing, What Now?",quiz,"Q3 option 2: ""Block your SIM quickly""",22,20,20,2
1,3,Hacked WhatsApp Accounts? How to Stop Them,body,English lesson message (book-emoji + title + body + quiz prompt),1131,1024,1000,131
1,3,Hacked WhatsApp Accounts? How to Stop Them,quiz,"Q1 option 2: ""I tried but need help""",21,20,20,1
1,3,Hacked WhatsApp Accounts? How to Stop Them,quiz,"Q2 option 2: ""Send the code quickly""",21,20,20,1
1,3,Hacked WhatsApp Accounts? How to Stop Them,quiz,"Q2 option 3: ""Ask a friend to help send it""",28,20,20,8
1,3,Hacked WhatsApp Accounts? How to Stop Them,quiz,"Q3 option 3: ""The person who called""",21,20,20,1
1,4,Send Me Your OTP: The Call That Collects People's Money,body,English lesson message (book-emoji + title + body + quiz prompt),1241,1024,1000,241
1,4,Send Me Your OTP: The Call That Collects People's Money,quiz,"Q2 option 1: ""Your account is in danger""",25,20,20,5
1,4,Send Me Your OTP: The Call That Collects People's Money,quiz,"Q2 option 2: ""Your bank needs the code""",24,20,20,4
1,4,Send Me Your OTP: The Call That Collects People's Money,quiz,"Q2 option 3: ""It is most likely a scam""",24,20,20,4
1,4,Send Me Your OTP: The Call That Collects People's Money,quiz,"Q3 option 2: ""Send it and stay safe""",21,20,20,1
1,4,Send Me Your OTP: The Call That Collects People's Money,quiz,"Q3 option 3: ""Ask your neighbour first""",24,20,20,4
1,5,Check That Link Before You Click,body,English lesson message (book-emoji + title + body + quiz prompt),1209,1024,1000,209
1,5,Check That Link Before You Click,quiz,"Q2 option 1: ""Forward it to friends""",21,20,20,1
1,5,Check That Link Before You Click,quiz,"Q2 option 2: ""Click quickly to get it""",23,20,20,3
1,5,Check That Link Before You Click,quiz,"Q2 option 3: ""Stop and check carefully""",24,20,20,4
1,5,Check That Link Before You Click,quiz,"Q3 option 1: ""Check carefully first""",21,20,20,1
1,5,Check That Link Before You Click,quiz,"Q3 option 2: ""Click and see what opens""",24,20,20,4
1,6,Fake Alert Problem in the Market,body,English lesson message (book-emoji + title + body + quiz prompt),1189,1024,1000,189
1,6,Fake Alert Problem in the Market,quiz,"Q1 option 2: ""I need help opening it""",22,20,20,2
1,6,Fake Alert Problem in the Market,quiz,"Q2 option 1: ""Check your account first""",24,20,20,4
1,6,Fake Alert Problem in the Market,quiz,"Q2 option 3: ""Give the goods to be kind""",25,20,20,5
1,6,Fake Alert Problem in the Market,quiz,"Q3 option 2: ""Trust what they show you""",24,20,20,4
1,6,Fake Alert Problem in the Market,quiz,"Q3 option 3: ""Confirm payment yourself""",24,20,20,4
1,7,Your Privacy Matters More Than You Think,body,English lesson message (book-emoji + title + body + quiz prompt),1142,1024,1000,142
1,7,Your Privacy Matters More Than You Think,quiz,"Q1 option 2: ""I looked but did not change""",27,20,20,7
1,7,Your Privacy Matters More Than You Think,quiz,"Q2 option 1: ""Deleting her WhatsApp""",21,20,20,1
1,7,Your Privacy Matters More Than You Think,quiz,"Q2 option 2: ""Updating her privacy settings""",29,20,20,9
1,7,Your Privacy Matters More Than You Think,quiz,"Q2 option 3: ""Changing her phone number""",25,20,20,5
1,7,Your Privacy Matters More Than You Think,quiz,"Q3 option 1: ""Control who sees your info""",26,20,20,6
1,7,Your Privacy Matters More Than You Think,quiz,"Q3 option 2: ""Increase your data speed""",24,20,20,4
1,8,WhatsApp Eats All My MB,body,English lesson message (book-emoji + title + body + quiz prompt),1092,1024,1000,92
1,8,WhatsApp Eats All My MB,quiz,"Q1 option 2: ""I need help finding it""",22,20,20,2
1,8,WhatsApp Eats All My MB,quiz,"Q2 option 2: ""Turn off auto-download""",22,20,20,2
1,8,WhatsApp Eats All My MB,quiz,"Q2 option 3: ""Buy more data every day""",23,20,20,3
1,8,WhatsApp Eats All My MB,quiz,"Q3 option 3: ""Turn off auto-downloading""",25,20,20,5
1,9,Using Voice Notes for Your Business,body,English lesson message (book-emoji + title + body + quiz prompt),1238,1024,1000,238
1,9,Using Voice Notes for Your Business,quiz,"Q1 option 2: ""I recorded but did not send""",27,20,20,7
1,9,Using Voice Notes for Your Business,quiz,"Q2 option 1: ""Voice notes feel warm and clear""",31,20,20,11
1,9,Using Voice Notes for Your Business,quiz,"Q2 option 2: ""Customers prefer long messages""",30,20,20,10
1,9,Using Voice Notes for Your Business,quiz,"Q2 option 3: ""She used perfect English""",24,20,20,4
1,9,Using Voice Notes for Your Business,quiz,"Q3 option 1: ""Send it without checking""",24,20,20,4
1,9,Using Voice Notes for Your Business,quiz,"Q3 option 3: ""Record in a noisy place""",23,20,20,3
2,2,The Right Photo to Get the Right Customer ,quiz,"Q3 option 2: ""To adjust phone volume""",22,20,20,2
2,3,Available Is Not Enough - Captions That Sell,quiz,"Q1 option 2: ""I feel shy to show it""",21,20,20,1
2,3,Available Is Not Enough - Captions That Sell,quiz,"Q3 option 2: ""It lowers product cost""",22,20,20,2
2,4,Turning My Product Photo Into a Simple Flyer ,quiz,"Q1 option 2: ""I got stuck downloading""",23,20,20,3
2,4,Turning My Product Photo Into a Simple Flyer ,quiz,"Q3 option 1: ""It saves battery life""",21,20,20,1
2,4,Turning My Product Photo Into a Simple Flyer ,quiz,"Q3 option 2: ""It makes reading easy""",21,20,20,1
2,5,Social Media Promotional Posting,quiz,"Q1 option 2: ""No, but I will search""",21,20,20,1
2,6,My WhatsApp Business Shop,quiz,"Q1 option 2: ""I need help migrating""",21,20,20,1
2,7,Replying My Customers Well,quiz,"Q2 option 1: ""It consumes more data""",21,20,20,1
2,8,Sending One Message to Many Customers - No Groups!,quiz,"Q1 option 2: ""I need help making it""",21,20,20,1
2,9,"Happy Customers, More Customers!",quiz,"Q2 option 2: ""Block private details""",21,20,20,1
2,10,Posting Regularly Without Stress,quiz,"Q2 option 1: ""It deducts bank funds""",21,20,20,1
2,10,Posting Regularly Without Stress,quiz,"Q3 option 1: ""Pacing a 3-day routine""",22,20,20,2
2,10,Posting Regularly Without Stress,quiz,"Q3 option 2: ""Deleting business apps""",22,20,20,2
