lesson,module,title,lang,body_chars,msg_chars,status,over_by
m3_l9_w,Module 3: Financial Tools and E-commerce,What My Records Say After One Week,en,1272,1392,OVER,368
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,en,1228,1344,OVER,320
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,en,1169,1300,OVER,276
m3_l7_i,Module 3: Financial Tools and E-commerce,Is My Pricing Making Me Profit? Or Loss?,en,1114,1240,OVER,216
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,en,1118,1240,OVER,216
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,en,1112,1237,OVER,213
m1_l4_s,Module 1: Digital Safety,Send Me Your OTP: The Call That Collects People's Money,en,1095,1236,OVER,212
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,en,1113,1234,OVER,210
m1_l5_c,Module 1: Digital Safety,Check That Link Before You Click,en,1087,1205,OVER,181
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,en,1080,1192,OVER,168
m1_l6_f,Module 1: Digital Safety,Fake Alert Problem in the Market,en,1066,1184,OVER,160
m1_l2_m,Module 1: Digital Safety,"My Phone Got Missing, What Now?",en,1035,1152,OVER,128
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,en,1012,1138,OVER,114
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,en,1008,1128,OVER,104
m1_l3_h,Module 1: Digital Safety,Hacked WhatsApp Accounts? How to Stop Them,en,999,1127,OVER,103
m3_l1_d,Module 3: Financial Tools and E-commerce,Did I Really Make Profit Today?,en,996,1113,OVER,89
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,en,990,1111,OVER,87
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,en,981,1104,OVER,80
m1_l8_w,Module 1: Digital Safety,WhatsApp Eats All My MB,en,978,1087,OVER,63
m4_l7_w,Module 4: Women's Rights and Digital Well-Being,When WhatsApp Feels Too Heavy,en,967,1082,OVER,58
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,en,943,1061,OVER,37
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,en,935,1043,OVER,19
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,en,912,1041,OVER,17
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",en,888,1040,OVER,16
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",en,906,1038,OVER,14
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,en,906,1037,OVER,13
m1_l1_m,Module 1: Digital Safety,My Phone for More Than Calls and WhatsApp Gist,en,896,1028,OVER,4
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,en,849,977,NEAR,0
m2_l9_h,Module 2: Digital Marketing,"Happy Customers, More Customers!",en,856,974,NEAR,0
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",en,837,972,NEAR,0
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",en,816,946,NEAR,0
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,en,840,942,NEAR,0
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,en,813,941,NEAR,0
m2_l4_t,Module 2: Digital Marketing,Turning My Product Photo Into a Simple Flyer ,en,808,939,NEAR,0
m2_l8_s,Module 2: Digital Marketing,Sending One Message to Many Customers - No Groups!,en,800,936,NEAR,0
m2_l2_t,Module 2: Digital Marketing,The Right Photo to Get the Right Customer ,en,808,936,NEAR,0
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,en,782,921,NEAR,0
m2_l1_m,Module 2: Digital Marketing,My Free Shop Banner - WhatsApp Status ,en,795,919,NEAR,0
m2_l6_m,Module 2: Digital Marketing,My WhatsApp Business Shop,en,785,896,OK,0
m2_l10_p,Module 2: Digital Marketing,Posting Regularly Without Stress,en,775,893,OK,0
m2_l3_a,Module 2: Digital Marketing,Available Is Not Enough - Captions That Sell,en,753,883,OK,0
m2_l7_r,Module 2: Digital Marketing,Replying My Customers Well,en,761,873,OK,0
m2_l5_s,Module 2: Digital Marketing,Social Media Promotional Posting,en,749,867,OK,0
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",pcm,15,167,OK,0
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",ig,15,167,OK,0
m1_l4_s,Module 1: Digital Safety,Send Me Your OTP: The Call That Collects People's Money,pcm,15,156,OK,0
m1_l4_s,Module 1: Digital Safety,Send Me Your OTP: The Call That Collects People's Money,ig,15,156,OK,0
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,pcm,15,154,OK,0
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,ig,15,154,OK,0
m2_l8_s,Module 2: Digital Marketing,Sending One Message to Many Customers - No Groups!,pcm,15,151,OK,0
m2_l8_s,Module 2: Digital Marketing,Sending One Message to Many Customers - No Groups!,ig,15,151,OK,0
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",pcm,15,150,OK,0
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",ig,15,150,OK,0
m1_l1_m,Module 1: Digital Safety,My Phone for More Than Calls and WhatsApp Gist,pcm,15,147,OK,0
m1_l1_m,Module 1: Digital Safety,My Phone for More Than Calls and WhatsApp Gist,ig,15,147,OK,0
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",pcm,15,147,OK,0
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",ig,15,147,OK,0
m2_l4_t,Module 2: Digital Marketing,Turning My Product Photo Into a Simple Flyer ,pcm,15,146,OK,0
m2_l4_t,Module 2: Digital Marketing,Turning My Product Photo Into a Simple Flyer ,ig,15,146,OK,0
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,pcm,15,146,OK,0
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,ig,15,146,OK,0
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,pcm,15,146,OK,0
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,ig,15,146,OK,0
m2_l3_a,Module 2: Digital Marketing,Available Is Not Enough - Captions That Sell,pcm,15,145,OK,0
m2_l3_a,Module 2: Digital Marketing,Available Is Not Enough - Captions That Sell,ig,15,145,OK,0
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",pcm,15,145,OK,0
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",ig,15,145,OK,0
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,pcm,15,144,OK,0
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,ig,15,144,OK,0
m1_l3_h,Module 1: Digital Safety,Hacked WhatsApp Accounts? How to Stop Them,pcm,15,143,OK,0
m1_l3_h,Module 1: Digital Safety,Hacked WhatsApp Accounts? How to Stop Them,ig,15,143,OK,0
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,pcm,15,143,OK,0
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,ig,15,143,OK,0
m2_l2_t,Module 2: Digital Marketing,The Right Photo to Get the Right Customer ,pcm,15,143,OK,0
m2_l2_t,Module 2: Digital Marketing,The Right Photo to Get the Right Customer ,ig,15,143,OK,0
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,pcm,15,143,OK,0
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,ig,15,143,OK,0
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,pcm,15,141,OK,0
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,ig,15,141,OK,0
m3_l7_i,Module 3: Financial Tools and E-commerce,Is My Pricing Making Me Profit? Or Loss?,pcm,15,141,OK,0
m3_l7_i,Module 3: Financial Tools and E-commerce,Is My Pricing Making Me Profit? Or Loss?,ig,15,141,OK,0
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,pcm,15,140,OK,0
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,ig,15,140,OK,0
m2_l1_m,Module 2: Digital Marketing,My Free Shop Banner - WhatsApp Status ,pcm,15,139,OK,0
m2_l1_m,Module 2: Digital Marketing,My Free Shop Banner - WhatsApp Status ,ig,15,139,OK,0
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,pcm,15,138,OK,0
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,ig,15,138,OK,0
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,pcm,15,137,OK,0
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,ig,15,137,OK,0
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,pcm,15,136,OK,0
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,ig,15,136,OK,0
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,pcm,15,136,OK,0
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,ig,15,136,OK,0
m3_l9_w,Module 3: Financial Tools and E-commerce,What My Records Say After One Week,pcm,15,135,OK,0
m3_l9_w,Module 3: Financial Tools and E-commerce,What My Records Say After One Week,ig,15,135,OK,0
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,pcm,15,135,OK,0
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,ig,15,135,OK,0
m1_l6_f,Module 1: Digital Safety,Fake Alert Problem in the Market,pcm,15,133,OK,0
m1_l6_f,Module 1: Digital Safety,Fake Alert Problem in the Market,ig,15,133,OK,0
m2_l10_p,Module 2: Digital Marketing,Posting Regularly Without Stress,pcm,15,133,OK,0
m2_l10_p,Module 2: Digital Marketing,Posting Regularly Without Stress,ig,15,133,OK,0
m2_l9_h,Module 2: Digital Marketing,"Happy Customers, More Customers!",pcm,15,133,OK,0
m2_l9_h,Module 2: Digital Marketing,"Happy Customers, More Customers!",ig,15,133,OK,0
m2_l5_s,Module 2: Digital Marketing,Social Media Promotional Posting,pcm,15,133,OK,0
m2_l5_s,Module 2: Digital Marketing,Social Media Promotional Posting,ig,15,133,OK,0
m1_l5_c,Module 1: Digital Safety,Check That Link Before You Click,pcm,15,133,OK,0
m1_l5_c,Module 1: Digital Safety,Check That Link Before You Click,ig,15,133,OK,0
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,pcm,15,133,OK,0
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,ig,15,133,OK,0
m1_l2_m,Module 1: Digital Safety,"My Phone Got Missing, What Now?",pcm,15,132,OK,0
m1_l2_m,Module 1: Digital Safety,"My Phone Got Missing, What Now?",ig,15,132,OK,0
m3_l1_d,Module 3: Financial Tools and E-commerce,Did I Really Make Profit Today?,pcm,15,132,OK,0
m3_l1_d,Module 3: Financial Tools and E-commerce,Did I Really Make Profit Today?,ig,15,132,OK,0
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,pcm,15,131,OK,0
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,ig,15,131,OK,0
m4_l7_w,Module 4: Women's Rights and Digital Well-Being,When WhatsApp Feels Too Heavy,pcm,15,130,OK,0
m4_l7_w,Module 4: Women's Rights and Digital Well-Being,When WhatsApp Feels Too Heavy,ig,15,130,OK,0
m2_l7_r,Module 2: Digital Marketing,Replying My Customers Well,pcm,15,127,OK,0
m2_l7_r,Module 2: Digital Marketing,Replying My Customers Well,ig,15,127,OK,0
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,pcm,15,127,OK,0
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,ig,15,127,OK,0
m2_l6_m,Module 2: Digital Marketing,My WhatsApp Business Shop,pcm,15,126,OK,0
m2_l6_m,Module 2: Digital Marketing,My WhatsApp Business Shop,ig,15,126,OK,0
m1_l8_w,Module 1: Digital Safety,WhatsApp Eats All My MB,pcm,15,124,OK,0
m1_l8_w,Module 1: Digital Safety,WhatsApp Eats All My MB,ig,15,124,OK,0
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,pcm,15,123,OK,0
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,ig,15,123,OK,0
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,pcm,15,117,OK,0
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,ig,15,117,OK,0
