lesson,module,title,question,option,length,option_text
m1_l1_m,Module 1: Digital Safety,My Phone for More Than Calls and WhatsApp Gist,1,2,21,I tried but got stuck
m1_l1_m,Module 1: Digital Safety,My Phone for More Than Calls and WhatsApp Gist,2,2,36,"Shared her product, price and number"
m1_l1_m,Module 1: Digital Safety,My Phone for More Than Calls and WhatsApp Gist,3,1,21,Charging your battery
m1_l1_m,Module 1: Digital Safety,My Phone for More Than Calls and WhatsApp Gist,3,2,23,Raising ringtone volume
m1_l1_m,Module 1: Digital Safety,My Phone for More Than Calls and WhatsApp Gist,3,3,22,Sending product photos
m1_l2_m,Module 1: Digital Safety,"My Phone Got Missing, What Now?",1,2,21,I tried but need help
m1_l2_m,Module 1: Digital Safety,"My Phone Got Missing, What Now?",2,3,25,Her contacts were deleted
m1_l2_m,Module 1: Digital Safety,"My Phone Got Missing, What Now?",3,1,24,Wait and hope it returns
m1_l2_m,Module 1: Digital Safety,"My Phone Got Missing, What Now?",3,2,22,Block your SIM quickly
m1_l3_h,Module 1: Digital Safety,Hacked WhatsApp Accounts? How to Stop Them,1,2,21,I tried but need help
m1_l3_h,Module 1: Digital Safety,Hacked WhatsApp Accounts? How to Stop Them,2,2,21,Send the code quickly
m1_l3_h,Module 1: Digital Safety,Hacked WhatsApp Accounts? How to Stop Them,2,3,28,Ask a friend to help send it
m1_l3_h,Module 1: Digital Safety,Hacked WhatsApp Accounts? How to Stop Them,3,3,21,The person who called
m1_l4_s,Module 1: Digital Safety,Send Me Your OTP: The Call That Collects People's Money,2,1,25,Your account is in danger
m1_l4_s,Module 1: Digital Safety,Send Me Your OTP: The Call That Collects People's Money,2,2,24,Your bank needs the code
m1_l4_s,Module 1: Digital Safety,Send Me Your OTP: The Call That Collects People's Money,2,3,24,It is most likely a scam
m1_l4_s,Module 1: Digital Safety,Send Me Your OTP: The Call That Collects People's Money,3,2,21,Send it and stay safe
m1_l4_s,Module 1: Digital Safety,Send Me Your OTP: The Call That Collects People's Money,3,3,24,Ask your neighbour first
m1_l5_c,Module 1: Digital Safety,Check That Link Before You Click,2,1,21,Forward it to friends
m1_l5_c,Module 1: Digital Safety,Check That Link Before You Click,2,2,23,Click quickly to get it
m1_l5_c,Module 1: Digital Safety,Check That Link Before You Click,2,3,24,Stop and check carefully
m1_l5_c,Module 1: Digital Safety,Check That Link Before You Click,3,1,21,Check carefully first
m1_l5_c,Module 1: Digital Safety,Check That Link Before You Click,3,2,24,Click and see what opens
m1_l6_f,Module 1: Digital Safety,Fake Alert Problem in the Market,1,2,22,I need help opening it
m1_l6_f,Module 1: Digital Safety,Fake Alert Problem in the Market,2,1,24,Check your account first
m1_l6_f,Module 1: Digital Safety,Fake Alert Problem in the Market,2,3,25,Give the goods to be kind
m1_l6_f,Module 1: Digital Safety,Fake Alert Problem in the Market,3,2,24,Trust what they show you
m1_l6_f,Module 1: Digital Safety,Fake Alert Problem in the Market,3,3,24,Confirm payment yourself
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,1,2,27,I looked but did not change
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,2,1,21,Deleting her WhatsApp
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,2,2,29,Updating her privacy settings
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,2,3,25,Changing her phone number
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,3,1,26,Control who sees your info
m1_l7_y,Module 1: Digital Safety,Your Privacy Matters More Than You Think,3,2,24,Increase your data speed
m1_l8_w,Module 1: Digital Safety,WhatsApp Eats All My MB,1,2,22,I need help finding it
